Tract,AccessCare,Arthritis,BingeEat,BPHigh,BPMed,Cancer,ChildAsthma,CHD,Checkup,CholesterolScreen,ColonScreen,COPD,CorePreventionMen,CorePreventionWomen,Smoking,Dental,Diabetes,HighCholesterol,CKD,LPA,Mammography,MentalHealth,Obesity,PapTest,PersonalHealth,Sleep,Stroke,TeethLost
477000,18.2,22.6,15.8,27.7,72,5.9,10.3,5.7,64.2,75.9,60.8,6.5,35,29.6,19.2,59.6,9.7,31.9,3.5,26.3,79,14.7,28.6,,13.9,34.2,3,13.4
485540,22.7,21.3,18,29,70.7,5.8,9.8,5.9,64.1,76.1,53.1,6.6,31.4,26.3,16.6,55.8,11.1,32.4,3.4,26.7,78.5,13.7,36.3,,14,31.3,3.2,17.7
523290,11.1,17.6,18.8,26.9,64.3,4.4,9.3,4.2,64.4,69.7,59,5.4,36.4,31.4,19,59.5,6.4,27.2,2.3,26.2,75.2,15.7,28.1,,10.6,34.2,2.1,15.6
524550,16.3,26.4,14,37.1,75.3,6.5,10,7.6,71.3,75.5,59.8,9.1,27.4,26.8,24.9,54.7,12.4,34.2,3.5,37.5,76.7,17.1,33.5,,16.3,35.1,4,23.5
535710,12.3,25.5,15.4,33.3,73.2,6.1,9.9,6.1,71.6,75.5,62.7,7.2,41.7,26.8,21.2,58.1,9.5,30.9,3,33,75.2,15.8,33.5,,13.6,32.4,3.1,18
541000,12.6,23.3,15.4,37.8,75.9,6.1,9.8,5.8,72.4,80.1,70.4,6.5,42.6,31.4,19.5,65.9,11,32.9,3.2,31.2,78.4,13.4,34.1,,12.7,36.5,3.5,15.3
566080,19.8,22.3,16.2,32.8,68.7,5.3,9.4,6,66,73.2,53.1,7.4,32.3,27.7,22.9,50.7,9.8,31.9,3,33.6,72.5,16.4,32.9,,14.5,36.7,3,23.1
600562,8.3,19.3,18.1,25.6,70,6.2,8.4,4.4,66.1,82.5,71.9,4.3,36.9,35.9,11.2,71.8,8.3,29,2.6,16.8,79.2,9.9,20.2,81.9,9.6,33.7,2.4,7.5
600884,14.1,15.9,13.4,26,71.8,5,7.1,4.9,68.8,82,58.9,3.9,25.9,32.3,11.3,61.1,11.5,33.6,3,22.2,77.6,10,17.7,78.9,10.8,37.9,2.7,9.2
602000,17.2,15.9,19.3,26.4,65,4.9,8.4,4.6,64.9,78,63.5,4.8,36.7,30.2,13.7,60.4,9.9,32.3,2.8,22.2,78.8,13,22.9,81.9,11.8,34,2.5,12.3
602252,13.4,19.6,18.4,26.2,68.3,5.4,9.9,4.8,65.1,78.9,67.3,5.6,32.3,31.8,15.4,67.5,9.7,28.7,2.9,21.5,78.6,13.9,27.7,83.1,12.4,35.9,2.8,12.7
602364,13.1,26.1,17,32.5,72.3,7.2,9.6,6.7,70.1,80.5,64.2,7.4,29,30.3,16.2,60.1,11.9,33,3.5,25.3,80.9,14.1,30.9,83,14.3,37.7,3.7,15.7
603526,16.9,19.8,17.9,29,66.8,5.2,9.7,5,64.5,77.2,62,5.8,32.5,27.7,16.9,60.9,9.9,30.2,3,25.1,80.2,14.6,29.2,83,13.2,37.2,2.9,15.2
603666,23.2,14.9,17.7,24.1,64.5,4.1,8.3,4.5,64.5,78,55.3,4.2,22.4,28.5,13.7,54.3,11.1,31.1,3,25.1,78.1,13.1,25.3,83.1,12.7,37.7,2.5,12
604982,17.5,16.7,18.2,25.4,65.8,4.8,9.2,4.6,66.3,79.5,60.5,4.9,26.6,32.3,14.6,58.6,9.9,30.6,2.9,22.7,79,13.2,25.8,84.5,12.2,38.2,2.7,11.7
606000,8.3,15.6,20.7,21.1,65.3,5.1,8.9,3.4,62.6,74.6,75.4,3.5,38.2,36.6,10.5,70,6,24.6,2.3,15.2,81.5,11.5,20.4,83.2,8.2,32.2,1.9,6.7
608786,14.3,16.2,17.8,27.3,67.7,5.1,8,4.7,66.6,79.6,63.4,4.6,37.3,31.4,12.9,62.8,10.4,33.4,2.8,21.4,78.5,12,20.8,80.1,11.2,34.2,2.6,10.9
608954,10.2,18.3,19.6,24.5,68,6.2,8.7,4.7,66.8,82.6,67.7,4.9,32.2,37.4,12.4,69.1,8,31.7,2.7,17.8,79.3,11.3,22,85.6,10.5,34.1,2.5,8.5
611194,6.6,20.4,20.9,27.2,69.7,7.4,8.2,4.5,69,85.4,75,4.4,33.6,37,10.1,78.3,7.4,30.6,2.6,14.5,81.9,9.7,20.4,87.5,9.4,30.1,2.3,6.2
611530,14.9,17.9,15.6,28.9,71.8,5.3,8.8,4.9,70.6,83,64.1,4.5,26,34.1,12.1,62.7,11.7,32.9,3.1,21.6,79.4,11.1,23.3,82.8,11.3,38.4,3,9.5
613014,10.2,18.1,20.8,23.6,64.8,5.5,10,4.5,63.9,73.2,70.4,5.4,36.5,29.7,15.3,64.8,7.1,27.8,2.6,19.7,78.4,15.1,25.1,84.4,11.3,32.7,2.4,12
613210,16,17.6,19.8,24.4,63.2,4.6,8.5,4,66.6,78.7,62.7,4.4,27.4,29.3,14.1,63.1,9.4,26.9,2.5,22.9,81.8,12.6,28.3,83,11.3,38.2,2.3,12.4
613214,9.4,16.7,18.1,23.2,66.1,4.8,7.5,3.4,69,83.1,66.1,3.4,31.1,34.3,10.3,71.9,8.5,27.3,2.2,18.4,82.5,9.8,22.4,81.8,8.9,36.9,1.9,7.7
613392,16.2,17.4,18.8,27.3,66.6,5.1,8.3,4.5,67.1,80.7,65.6,4.5,25.8,29.1,12.6,66,10.4,29.4,2.9,21.2,80.7,11.9,24.1,85.4,11.9,34.4,2.5,10.8
613588,10.4,23.1,20.4,30,67.6,6.8,10.7,5.5,65.7,79.1,72.5,6.5,32.5,28.4,15.7,65.9,9.2,30.9,2.9,20.9,78.7,14.1,30.4,82.6,12.8,35.3,3,11.8
614218,11.2,19,18.3,26.9,66.9,6,9.7,4.9,64.4,79.2,67.2,5.5,37.4,32.6,14,68.7,8.8,29.6,2.8,20.1,78.8,12.7,26.2,81,11.5,33.5,2.7,12
615044,24.8,17.9,17,30,67.3,4.2,10.9,5.3,67,76.6,55.8,6,19.4,26,17.9,47.7,12.7,30.6,3.6,28.2,81.2,16.2,32.7,86.1,15.3,41.5,3.7,19.8
616000,12.1,19.6,19.1,24.6,68.5,6.1,9.1,4.7,64.5,80.1,70.2,5,36.1,35.2,13.3,70.7,8.6,29.2,2.7,19.1,78.4,12.4,24.7,83.3,11.1,33.3,2.5,10
