ZCTA,PERCENT_TOTAL,POPULATION,A00_B99_R1000,Benign_R1000,D50_D64_R1000,E00_E99_R1000,G00_G99_R1000,J00_J99_R1000,K00_K99_R1000,N00_N99_R1000,O00_O07_R1000,O10_O99_R1000,P00_P99_R1000,Q00_Q99_R1000,Abnormal_R1000,Residual_R1000,V01_Y89_R1000,SIDS_R1000
ZCTA32819,0.001332986,27442,0.73,0.36,0.00,0.69,1.64,2.37,0.33,0.58,0.00,0.00,0.15,0.07,0.40,3.53,3.32,0.00
ZCTA33830,0.001334638,27476,1.16,0.36,0.04,1.93,1.93,7.06,0.91,1.31,0.00,0.11,0.15,0.18,0.51,6.70,3.75,0.04
ZCTA34689,0.001335609,27496,1.60,0.65,0.04,1.85,3.42,5.20,1.38,0.98,0.00,0.04,0.15,0.15,4.00,7.06,5.71,0.04
ZCTA34639,0.001336872,27522,0.65,0.11,0.04,1.13,1.31,2.94,0.40,0.47,0.00,0.00,0.22,0.11,2.51,3.63,3.12,0.04
ZCTA34287,0.001337358,27532,1.49,0.36,0.15,2.25,4.07,6.72,1.85,1.27,0.00,0.00,0.11,0.15,0.80,8.10,4.18,0.04
ZCTA34112,0.001337892,27543,0.76,0.44,0.22,1.56,2.87,4.72,1.34,0.65,0.00,0.04,0.25,0.04,0.87,5.59,4.32,0.07
ZCTA33705,0.001340467,27596,1.09,0.18,0.22,2.54,1.38,4.42,0.91,1.38,0.00,0.00,0.33,0.11,6.85,5.44,5.36,0.29
ZCTA33544,0.001340953,27606,0.69,0.11,0.00,0.62,1.16,2.21,0.40,0.18,0.00,0.00,0.14,0.11,0.65,1.99,1.85,0.00
ZCTA33069,0.001341244,27612,1.34,0.22,0.04,1.12,2.28,5.07,0.58,1.56,0.00,0.00,0.14,0.04,0.69,4.85,4.13,0.07
ZCTA32533,0.001342216,27632,0.98,0.11,0.04,1.34,3.47,4.34,0.76,1.56,0.00,0.00,0.18,0.14,0.65,6.33,3.47,0.07
ZCTA32958,0.001344353,27676,1.41,0.25,0.18,1.52,3.87,6.94,1.59,1.81,0.00,0.00,0.00,0.11,1.01,8.20,4.88,0.11
ZCTA32806,0.001348822,27768,1.33,0.47,0.11,1.55,2.38,3.60,1.19,0.40,0.00,0.00,0.14,0.14,0.47,5.01,3.57,0.00
ZCTA33067,0.001349599,27784,0.47,0.11,0.00,0.36,1.12,1.62,0.40,0.29,0.00,0.00,0.07,0.07,0.22,2.30,1.87,0.04
ZCTA33130,0.001351250,27818,0.58,0.07,0.04,1.69,1.73,2.88,0.65,0.36,0.00,0.04,0.11,0.11,0.43,4.24,2.66,0.00
ZCTA33570,0.001351396,27821,0.83,0.29,0.04,0.97,0.93,4.60,0.68,0.43,0.00,0.00,0.36,0.18,0.43,4.13,3.63,0.04
ZCTA33563,0.001354019,27875,0.86,0.22,0.14,1.94,1.47,4.09,0.86,0.68,0.00,0.00,0.18,0.22,0.32,5.17,3.91,0.07
ZCTA33308,0.001357711,27951,0.93,0.39,0.21,1.29,3.76,6.08,1.65,1.07,0.00,0.00,0.04,0.00,0.72,6.55,5.40,0.00
ZCTA33510,0.001368640,28176,0.96,0.11,0.07,0.96,2.06,4.08,0.60,0.60,0.00,0.00,0.21,0.07,0.28,5.00,2.91,0.14
ZCTA32809,0.001372623,28258,0.85,0.39,0.04,1.10,1.13,2.48,0.60,0.46,0.00,0.04,0.39,0.14,0.39,3.36,4.03,0.07
ZCTA33401,0.001374032,28287,1.48,0.32,0.11,1.48,3.78,4.60,0.95,1.24,0.00,0.07,0.18,0.28,0.39,8.94,5.80,0.04
ZCTA32327,0.001375586,28319,0.74,0.18,0.11,1.02,1.17,3.74,0.64,0.71,0.00,0.00,0.21,0.07,0.53,5.05,4.17,0.07
ZCTA32003,0.001385884,28531,0.32,0.07,0.04,0.60,1.54,2.94,0.35,0.56,0.00,0.00,0.00,0.00,0.28,4.94,2.21,0.04
ZCTA32583,0.001388507,28585,0.73,0.28,0.07,1.22,1.68,5.14,0.66,1.57,0.00,0.03,0.10,0.14,1.19,5.04,4.16,0.03
ZCTA33404,0.001394919,28717,1.36,0.31,0.17,2.19,1.95,4.21,0.84,1.08,0.00,0.00,0.31,0.14,0.42,5.05,7.17,0.10
ZCTA33328,0.001398076,28782,0.42,0.28,0.07,0.56,1.18,2.61,0.66,0.24,0.00,0.00,0.03,0.14,0.14,2.26,2.57,0.00
ZCTA34684,0.001398174,28784,1.81,0.59,0.07,1.88,5.56,7.57,1.04,1.32,0.00,0.00,0.03,0.17,10.14,8.86,4.62,0.00
